<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-preview-03-25'>gemini/gemini-2.5-pro-preview-03-25 (zero-shot, val)</a>",🤔,-,?,?,256128.0,1048576.0,✓,✗,✗,✓,88.86 ± 1.20 / 94.23 ± 0.63,55.45 ± 2.21 / 33.48 ± 1.93,41.36 ± 3.42 / 66.94 ± 1.81,62.28 ± 0.65 / 38.84 ± 1.36,-,66.74 ± 1.78 / 74.77 ± 1.36,15.8.1,15.8.1,15.8.1,15.8.1,-,15.8.1
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-preview-04-17'>gemini/gemini-2.5-flash-preview-04-17 (zero-shot, val)</a>",🤔,-,?,?,256128.0,1048576.0,✓,✗,✗,✓,88.36 ± 1.32 / 93.96 ± 0.69,66.07 ± 2.13 / 47.38 ± 2.27,47.25 ± 2.39 / 73.16 ± 1.16,66.05 ± 0.96 / 51.12 ± 1.36,-,76.11 ± 1.97 / 82.23 ± 1.45,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite-preview-06-17'>gemini/gemini-2.5-flash-lite-preview-06-17#thinking (zero-shot, val)</a>",🤔,-,?,?,256128.0,1048576.0,✓,✗,✗,✓,88.50 ± 1.21 / 94.03 ± 0.64,61.76 ± 2.58 / 38.94 ± 2.74,40.35 ± 2.11 / 69.97 ± 1.09,61.31 ± 1.24 / 40.71 ± 1.63,-,63.47 ± 2.22 / 72.42 ± 1.77,15.11.0,15.11.0,15.11.0,15.11.0,-,15.11.0
<a href='https://hf.co/facebook/MobileLLM-R1-140M-base'>facebook/MobileLLM-R1-140M-base</a>,🧠,-,N/A,140248512.0,128256.0,4096.0,✗,✗,(✓),✓,13.56 ± 11.92 / 51.90 ± 5.30,9.84 ± 2.90 / 9.66 ± 2.82,-1.47 ± 1.28 / 40.31 ± 3.70,8.64 ± 2.73 / 3.89 ± 1.68,-,0.56 ± 1.86 / 23.62 ± 1.13,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,-,16.3.0.dev0
<a href='https://hf.co/facebook/MobileLLM-R1-140M'>facebook/MobileLLM-R1-140M</a>,🤔,-,?,140248512.0,128256.0,32768.0,✗,✗,(✓),✓,0.41 ± 1.34 / 33.87 ± 0.48,0.00 ± 0.00 / 0.00 ± 0.00,0.31 ± 0.41 / 34.66 ± 2.61,0.01 ± 0.01 / 0.00 ± 0.00,-,0.31 ± 0.42 / 25.74 ± 0.28,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,-,16.3.0.dev0
<a href='https://hf.co/facebook/MobileLLM-R1-360M-base'>facebook/MobileLLM-R1-360M-base</a>,🧠,-,N/A,359431168.0,128256.0,4096.0,✗,✗,(✓),✓,3.84 ± 3.95 / 34.99 ± 2.30,12.84 ± 1.57 / 12.40 ± 1.12,-1.84 ± 1.32 / 42.38 ± 3.98,15.41 ± 2.13 / 6.70 ± 1.43,-,0.37 ± 0.74 / 25.74 ± 0.27,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,-,16.3.0.dev0
<a href='https://hf.co/facebook/MobileLLM-R1-360M'>facebook/MobileLLM-R1-360M</a>,📝,-,?,359431168.0,128256.0,32768.0,✗,✗,(✓),✓,0.44 ± 0.86 / 33.62 ± 0.32,0.69 ± 0.89 / 0.57 ± 0.73,-0.19 ± 0.61 / 36.18 ± 2.90,0.18 ± 0.10 / 0.00 ± 0.00,-,0.60 ± 0.96 / 25.23 ± 0.62,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,-,16.3.0.dev0
<a href='https://hf.co/facebook/MobileLLM-R1-950M-base'>facebook/MobileLLM-R1-950M-base</a>,🧠,-,N/A,949685760.0,128256.0,4096.0,✗,✗,(✓),✓,73.48 ± 1.65 / 86.23 ± 1.04,25.69 ± 2.23 / 18.33 ± 1.21,-1.38 ± 1.35 / 43.39 ± 3.00,44.84 ± 1.83 / 29.32 ± 2.03,-,1.70 ± 0.68 / 25.93 ± 0.69,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,-,16.3.0.dev0
<a href='https://hf.co/facebook/MobileLLM-R1-950M'>facebook/MobileLLM-R1-950M</a>,📝,-,?,949685760.0,128256.0,32768.0,✗,✗,(✓),✓,0.00 ± 0.00 / 33.49 ± 0.42,10.75 ± 2.89 / 9.87 ± 2.53,-1.00 ± 1.09 / 39.82 ± 4.13,0.66 ± 0.17 / 0.00 ± 0.00,-,-0.04 ± 1.08 / 25.66 ± 0.67,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,16.3.0.dev0,-,16.3.0.dev0
fresh-electra-small,🔍,-,N/A,13738755.0,32000.0,128.0,✓,✗,✗,✓,67.08 ± 2.03 / 83.32 ± 0.93,1.81 ± 0.63 / 2.21 ± 0.88,0.31 ± 0.45 / 33.42 ± 0.26,0.00 ± 0.00 / 0.00 ± 0.00,-,-,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,-,-
fresh-xlm-roberta-base,🔍,-,N/A,278885778.0,250002.0,512.0,✓,✗,✗,✓,60.79 ± 4.85 / 80.21 ± 2.42,5.05 ± 2.11 / 4.51 ± 1.94,0.89 ± 1.16 / 36.97 ± 4.57,13.71 ± 1.23 / 0.65 ± 0.14,-,-,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,-,-
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-002'>gemini/gemini-1.5-flash-002 (zero-shot, val)</a>",📝,-,?,?,256128.0,1048576.0,✓,✗,✗,✓,88.72 ± 1.44 / 94.16 ± 0.75,41.67 ± 1.81 / 23.30 ± 0.94,31.88 ± 2.83 / 64.95 ± 1.43,55.13 ± 0.67 / 34.98 ± 0.95,-,62.84 ± 2.40 / 72.30 ± 1.82,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-flash-8b-001'>gemini/gemini-1.5-flash-8b-001 (zero-shot, val)</a>",📝,-,?,?,256128.0,1048576.0,✓,✗,✗,✓,88.87 ± 1.32 / 94.24 ± 0.68,42.56 ± 1.25 / 32.72 ± 1.48,17.87 ± 4.49 / 55.24 ± 2.60,61.08 ± 0.71 / 46.55 ± 0.73,-,39.13 ± 0.94 / 52.73 ± 1.04,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-1.5-pro-002'>gemini/gemini-1.5-pro-002 (zero-shot, val)</a>",📝,-,?,?,256128.0,2097152.0,✓,✗,✗,✓,90.98 ± 1.43 / 95.37 ± 0.75,50.03 ± 2.57 / 29.22 ± 1.62,35.88 ± 2.58 / 65.54 ± 1.17,55.84 ± 0.47 / 34.18 ± 0.98,-,70.95 ± 1.90 / 78.36 ± 1.42,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#thinking</a>,🤔,-,?,110468824832.0,151552.0,131072.0,✓,✗,✗,✓,90.53 ± 0.80 / 95.21 ± 0.41,63.11 ± 1.67 / 44.00 ± 1.90,35.50 ± 1.39 / 67.52 ± 0.70,26.51 ± 0.49 / 0.00 ± 0.00,-,44.03 ± 1.09 / 57.93 ± 0.82,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,16.2.2.dev0,-,16.2.2.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-lite-001'>gemini/gemini-2.0-flash-lite-001 (zero-shot, val)</a>",📝,-,?,?,256128.0,1048576.0,✓,✗,✗,✓,87.86 ± 1.33 / 93.68 ± 0.69,53.73 ± 1.87 / 27.99 ± 1.48,29.29 ± 2.78 / 60.79 ± 1.53,58.62 ± 0.78 / 30.00 ± 1.13,-,66.89 ± 1.48 / 75.20 ± 1.11,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,-,?,?,256128.0,1048576.0,✓,✗,✗,✓,89.22 ± 1.16 / 94.43 ± 0.60,60.42 ± 2.08 / 37.10 ± 2.13,37.10 ± 3.44 / 67.27 ± 1.66,63.52 ± 1.06 / 50.07 ± 1.38,-,79.16 ± 1.99 / 84.38 ± 1.46,15.11.0,15.11.0,15.11.0,15.11.0,-,15.11.0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,-,?,?,256128.0,1048576.0,✓,✗,✗,✓,88.72 ± 1.44 / 94.16 ± 0.75,62.95 ± 2.40 / 42.48 ± 1.75,44.49 ± 2.04 / 70.93 ± 1.13,65.54 ± 0.84 / 53.40 ± 1.35,-,82.93 ± 1.05 / 87.27 ± 0.77,15.11.0,15.11.0,15.11.0,15.11.0,-,15.11.0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite-preview-06-17'>gemini/gemini-2.5-flash-lite-preview-06-17#no-thinking (zero-shot, val)</a>",📝,-,?,?,256128.0,1048576.0,✓,✗,✗,✓,90.07 ± 1.13 / 94.86 ± 0.60,53.06 ± 1.97 / 23.60 ± 1.59,24.93 ± 3.74 / 59.97 ± 1.90,57.60 ± 0.54 / 37.26 ± 1.06,-,57.57 ± 2.44 / 67.89 ± 1.80,15.10.1.dev0,15.10.1.dev0,15.11.0,15.11.0,-,15.11.0
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-DPO'>allenai/Llama-3.1-Tulu-3-8B-DPO</a>,📝,-,?,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,91.52 ± 0.53 / 95.73 ± 0.27,49.33 ± 1.47 / 33.48 ± 1.12,9.93 ± 1.21 / 39.35 ± 1.00,62.21 ± 2.04 / 43.07 ± 1.67,-,19.00 ± 0.96 / 38.77 ± 0.72,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B'>allenai/Llama-3.1-Tulu-3-8B</a>,📝,-,?,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,91.28 ± 0.62 / 95.60 ± 0.32,48.47 ± 1.40 / 32.55 ± 0.99,9.22 ± 1.36 / 38.07 ± 0.99,59.30 ± 2.53 / 42.02 ± 2.31,-,18.90 ± 1.00 / 38.78 ± 0.76,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3.1-8B'>allenai/Llama-3.1-Tulu-3.1-8B</a>,📝,-,?,8030326784.0,128264.0,131072.0,✓,✗,(✓),✓,90.66 ± 0.63 / 95.28 ± 0.33,50.21 ± 1.29 / 32.84 ± 1.16,7.96 ± 1.66 / 38.23 ± 1.25,60.84 ± 1.61 / 40.56 ± 2.02,-,17.45 ± 0.94 / 37.74 ± 0.75,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct</a>,📝,-,0.81,32234279936.0,100352.0,4096.0,✗,✗,(✓),✓,92.11 ± 0.66 / 96.02 ± 0.34,55.52 ± 1.47 / 22.68 ± 0.80,26.67 ± 0.53 / 63.13 ± 0.28,22.87 ± 1.52 / 0.00 ± 0.00,-,42.13 ± 0.66 / 56.03 ± 0.47,15.9.2,15.9.2,15.9.2,15.9.2,-,15.9.2
<a href='https://hf.co/ai21labs/Jamba-v0.1'>ai21labs/Jamba-v0.1</a>,🧠,-,N/A,51570323328.0,65536.0,262144.0,✓,✗,(✓),✗,92.03 ± 0.50 / 95.99 ± 0.25,55.01 ± 1.96 / 27.04 ± 1.55,12.90 ± 2.02 / 52.79 ± 2.86,71.08 ± 1.68 / 54.49 ± 2.02,-,13.27 ± 1.44 / 33.55 ± 0.93,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,-,15.10.0.dev0
<a href='https://hf.co/allenai/OLMo-2-0325-32B'>allenai/OLMo-2-0325-32B</a>,🧠,-,N/A,32234279936.0,100352.0,4096.0,✓,✗,(✓),✓,92.42 ± 0.60 / 96.19 ± 0.31,58.46 ± 2.23 / 29.27 ± 2.13,25.12 ± 1.41 / 60.89 ± 1.09,73.13 ± 0.55 / 50.61 ± 1.47,-,36.38 ± 1.52 / 51.99 ± 1.17,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
<a href='https://hf.co/allenai/OLMo-2-1124-13B-Instruct'>allenai/OLMo-2-1124-13B-Instruct</a>,📝,-,?,13716198400.0,100352.0,4096.0,✓,✗,(✓),✓,89.82 ± 0.73 / 94.83 ± 0.39,48.28 ± 1.20 / 23.77 ± 1.37,10.11 ± 1.29 / 48.41 ± 1.40,57.76 ± 1.64 / 43.07 ± 2.41,-,6.99 ± 1.50 / 29.83 ± 1.11,15.13.0.dev0,15.13.0.dev0,15.13.0.dev0,15.13.0.dev0,-,15.13.0.dev0
<a href='https://hf.co/allenai/OLMo-2-1124-13B'>allenai/OLMo-2-1124-13B</a>,🧠,-,N/A,13716198400.0,100352.0,4096.0,✓,✗,(✓),✓,91.21 ± 0.56 / 95.58 ± 0.29,44.68 ± 3.56 / 23.05 ± 2.52,9.18 ± 2.53 / 47.32 ± 4.79,72.75 ± 0.81 / 54.95 ± 1.33,-,6.27 ± 0.81 / 29.86 ± 0.64,15.13.0,15.13.0,15.13.0,15.13.0,-,15.13.0
<a href='https://hf.co/allenai/OLMo-2-1124-7B-Instruct'>allenai/OLMo-2-1124-7B-Instruct</a>,📝,-,?,7298617344.0,100352.0,4096.0,✓,✗,(✓),✓,85.98 ± 0.56 / 92.89 ± 0.30,37.48 ± 1.04 / 21.61 ± 1.12,3.91 ± 1.38 / 44.35 ± 2.70,64.40 ± 1.12 / 47.79 ± 0.93,-,7.22 ± 1.08 / 30.26 ± 0.77,15.13.0,15.13.0,15.13.0,15.13.0,-,15.13.0
<a href='https://hf.co/allenai/OLMo-2-1124-7B'>allenai/OLMo-2-1124-7B</a>,🧠,-,N/A,7298617344.0,100352.0,4096.0,✓,✗,(✓),✓,85.54 ± 1.27 / 92.48 ± 0.73,33.26 ± 2.01 / 20.00 ± 1.37,5.04 ± 2.39 / 45.01 ± 3.89,68.53 ± 0.57 / 50.83 ± 1.07,-,5.28 ± 1.48 / 28.96 ± 0.90,15.13.0,15.13.0,15.13.0,15.13.0,-,15.13.0
<a href='https://hf.co/ZurichNLP/unsup-simcse-xlm-roberta-base'>ZurichNLP/unsup-simcse-xlm-roberta-base</a>,🔍,-,N/A,277453570.0,250002.0,514.0,✓,✗,(✓),✗,83.14 ± 1.16 / 91.55 ± 0.58,76.22 ± 1.98 / 73.91 ± 1.70,2.46 ± 2.61 / 47.30 ± 4.11,33.19 ± 1.39 / 17.38 ± 1.19,-,-,15.10.0,15.10.0,15.10.0,15.10.0.dev0,-,-
<a href='https://hf.co/TrustLLMeu/baseline-7-8b_1t-tokens_llama'>TrustLLMeu/baseline-7-8b_1t-tokens_llama</a>,🧠,-,N/A,7799574528.0,100096.0,4096.0,✓,✗,(✓),✗,71.76 ± 3.77 / 84.36 ± 2.68,39.42 ± 2.50 / 34.41 ± 1.90,1.40 ± 2.05 / 40.64 ± 3.82,56.14 ± 2.29 / 40.17 ± 2.52,-,0.96 ± 0.80 / 25.58 ± 0.62,15.10.0,15.10.0,15.10.0,15.10.0,-,15.10.0
<a href='https://hf.co/TrustLLMeu/baseline-7-8b_2-3t-tokens_llama'>TrustLLMeu/baseline-7-8b_2-3t-tokens_llama</a>,🧠,-,N/A,7799574528.0,100096.0,4096.0,✓,✗,(✓),✗,88.01 ± 0.95 / 93.96 ± 0.48,41.68 ± 2.21 / 26.60 ± 3.80,2.03 ± 1.78 / 35.69 ± 1.90,63.16 ± 1.32 / 46.45 ± 1.82,-,3.89 ± 0.67 / 27.44 ± 0.38,15.10.0,15.10.0,15.10.0,15.10.0,-,15.10.0
<a href='https://hf.co/TurkuNLP/bert-large-finnish-cased-v1'>TurkuNLP/bert-large-finnish-cased-v1</a>,🔍,-,N/A,354147330.0,50105.0,512.0,✓,✗,(✓),✗,91.97 ± 0.59 / 95.98 ± 0.29,80.97 ± 1.09 / 77.63 ± 1.20,48.93 ± 4.54 / 73.38 ± 2.52,59.30 ± 1.30 / 38.13 ± 0.86,-,-,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,-,-
<a href='https://hf.co/TurkuNLP/finnish-modernbert-base'>TurkuNLP/finnish-modernbert-base</a>,🔍,-,N/A,143404800.0,42240.0,16000.0,✓,✗,(✓),✗,81.68 ± 3.46 / 90.74 ± 1.76,50.18 ± 3.17 / 51.46 ± 3.17,10.69 ± 2.98 / 54.88 ± 1.36,29.35 ± 0.70 / 13.67 ± 0.97,-,-,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,-,-
<a href='https://hf.co/TurkuNLP/finnish-modernbert-large-seq-len-1024-117300-annealed'>TurkuNLP/finnish-modernbert-large-seq-len-1024-117300-annealed</a>,🔍,-,N/A,401260864.0,55616.0,1024.0,✓,✗,(✓),✗,87.57 ± 3.72 / 93.77 ± 1.87,67.42 ± 1.87 / 66.12 ± 1.68,35.90 ± 6.71 / 67.10 ± 3.53,37.38 ± 1.81 / 17.89 ± 1.70,-,-,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,-,-
<a href='https://hf.co/TurkuNLP/finnish-modernbert-large'>TurkuNLP/finnish-modernbert-large</a>,🔍,-,N/A,401260864.0,55616.0,16000.0,✓,✗,(✓),✗,87.61 ± 0.96 / 93.77 ± 0.49,67.62 ± 1.82 / 66.14 ± 1.90,37.37 ± 7.16 / 67.93 ± 3.84,40.59 ± 1.49 / 20.90 ± 1.15,-,-,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,-,-
<a href='https://hf.co/TurkuNLP/finnish-modernbert-tiny'>TurkuNLP/finnish-modernbert-tiny</a>,🔍,-,N/A,51647616.0,27264.0,16000.0,✓,✗,(✓),✗,77.51 ± 1.94 / 88.73 ± 0.97,46.65 ± 2.12 / 47.42 ± 1.75,3.95 ± 2.01 / 51.43 ± 1.21,29.78 ± 0.81 / 14.53 ± 0.98,-,-,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,15.10.1.dev0,-,-
<a href='https://hf.co/Twitter/twhin-bert-base'>Twitter/twhin-bert-base</a>,🔍,-,N/A,279080594.0,250002.0,512.0,✓,✗,(✓),✗,72.46 ± 5.58 / 86.01 ± 2.83,68.79 ± 0.95 / 69.06 ± 0.88,3.56 ± 1.39 / 46.83 ± 3.17,31.16 ± 0.51 / 16.79 ± 0.51,-,-,15.10.0,15.10.0,15.10.0,15.10.0.dev0,-,-
<a href='https://hf.co/Twitter/twhin-bert-large'>Twitter/twhin-bert-large</a>,🔍,-,N/A,561713298.0,250002.0,512.0,✓,✗,(✓),✗,75.72 ± 4.48 / 87.69 ± 2.40,71.19 ± 1.98 / 71.30 ± 1.77,3.09 ± 1.39 / 44.19 ± 4.26,41.46 ± 3.45 / 24.92 ± 3.00,-,-,15.10.0,15.10.0,15.10.0,15.10.0.dev0,-,-
<a href='https://hf.co/arcee-ai/Trinity-Mini-Base'>arcee-ai/Trinity-Mini-Base</a>,📝,-,4.71,26123974400.0,200192.0,131072.0,✗,✗,(✓),✗,74.99 ± 8.71 / 85.27 ± 6.00,54.70 ± 2.02 / 23.32 ± 1.47,-0.03 ± 0.96 / 33.39 ± 0.27,16.81 ± 3.04 / 5.17 ± 1.87,-,1.96 ± 1.19 / 26.58 ± 0.62,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,-,16.11.0.dev0
<a href='https://hf.co/arcee-ai/Trinity-Nano-Base'>arcee-ai/Trinity-Nano-Base</a>,📝,-,8.15,6120003328.0,200192.0,131072.0,✓,✗,(✓),✗,71.65 ± 6.32 / 83.67 ± 4.42,36.08 ± 2.19 / 22.02 ± 1.84,-0.11 ± 0.52 / 33.08 ± 0.20,37.47 ± 5.69 / 20.94 ± 5.91,-,3.62 ± 0.98 / 28.46 ± 0.66,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,16.11.0.dev0,-,16.11.0.dev0
<a href='https://hf.co/arcee-ai/Trinity-Nano-Preview'>arcee-ai/Trinity-Nano-Preview</a>,📝,-,0.58,6120003328.0,200192.0,131072.0,✓,✗,(✓),✗,60.75 ± 9.71 / 76.05 ± 7.53,41.94 ± 1.59 / 29.87 ± 2.42,3.01 ± 3.08 / 35.82 ± 3.72,40.17 ± 6.14 / 29.03 ± 5.12,-,7.54 ± 1.42 / 29.59 ± 0.89,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,-,16.10.1.dev0
<a href='https://hf.co/baidu/ERNIE-4.5-0.3B-PT'>baidu/ERNIE-4.5-0.3B-PT</a>,📝,-,3.42,?,103424.0,131072.0,✓,✗,(✓),✗,9.29 ± 3.14 / 39.87 ± 3.32,17.02 ± 1.49 / 15.18 ± 1.50,1.17 ± 1.18 / 34.84 ± 2.26,15.66 ± 2.69 / 5.87 ± 2.15,-,1.31 ± 0.85 / 26.37 ± 0.71,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,16.9.0.dev0,-,16.9.0.dev0
<a href='https://hf.co/arcee-ai/AFM-4.5B'>arcee-ai/AFM-4.5B</a>,📝,-,0.74,4619189760.0,128005.0,65536.0,✓,✗,(✓),✗,81.17 ± 1.81 / 90.49 ± 0.96,37.98 ± 3.00 / 23.39 ± 2.12,6.65 ± 2.51 / 47.21 ± 2.68,22.26 ± 1.30 / 0.31 ± 0.09,-,3.23 ± 1.23 / 27.22 ± 0.72,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,-,16.10.1.dev0
<a href='https://hf.co/arcee-ai/AFM-4.5B-Base'>arcee-ai/AFM-4.5B-Base</a>,🧠,-,N/A,4619184640.0,128004.0,65536.0,✓,✗,(✓),✗,82.96 ± 1.36 / 91.23 ± 0.80,29.56 ± 3.35 / 20.88 ± 3.37,2.59 ± 1.41 / 45.04 ± 3.70,62.14 ± 1.13 / 41.54 ± 1.87,-,1.64 ± 1.25 / 24.54 ± 0.89,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,16.10.1.dev0,-,16.10.1.dev0
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think</a>,🤔,-,?,7298011136.0,100278.0,65536.0,✗,✗,(✓),✓,68.56 ± 5.45 / 81.78 ± 3.94,51.26 ± 2.70 / 27.29 ± 1.57,9.02 ± 1.93 / 50.13 ± 1.25,55.80 ± 1.02 / 41.67 ± 1.71,-,13.71 ± 1.19 / 35.39 ± 0.87,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,16.12.0.dev0,-,16.12.0.dev0
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think</a>,🤔,-,?,32233522176.0,100278.0,65536.0,✗,✗,(✓),✓,90.00 ± 0.73 / 94.94 ± 0.39,71.69 ± 1.40 / 56.46 ± 2.67,10.00 ± 1.88 / 39.69 ± 1.58,61.87 ± 0.90 / 47.38 ± 1.22,-,33.03 ± 1.65 / 49.80 ± 1.25,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,16.14.0.dev0,-,16.14.0.dev0
<a href='https://hf.co/answerdotai/ModernBERT-base'>answerdotai/ModernBERT-base</a>,🔍,-,N/A,149655232.0,50368.0,8192.0,✓,✗,(✓),✓,57.82 ± 3.22 / 78.80 ± 1.64,34.68 ± 1.03 / 32.75 ± 1.28,1.82 ± 1.81 / 47.17 ± 2.22,26.33 ± 0.94 / 11.97 ± 0.53,-,-,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,15.10.0.dev0,-,-
<a href='https://hf.co/answerdotai/ModernBERT-large'>answerdotai/ModernBERT-large</a>,🔍,-,N/A,395881664.0,50368.0,8192.0,✓,✗,(✓),✓,57.64 ± 4.42 / 78.53 ± 2.21,34.01 ± 2.93 / 33.70 ± 3.11,1.67 ± 0.96 / 46.06 ± 3.21,27.27 ± 0.56 / 12.40 ± 0.78,-,-,15.10.0,15.10.0,15.10.0,15.10.0.dev0,-,-
<a href='https://hf.co/baidu/ERNIE-4.5-21B-A3B-PT'>baidu/ERNIE-4.5-21B-A3B-PT</a>,📝,-,0.21,21948655808.0,103424.0,131072.0,✓,✗,(✓),✗,89.57 ± 0.75 / 94.74 ± 0.39,48.47 ± 1.54 / 20.73 ± 1.10,8.86 ± 3.69 / 48.50 ± 5.58,68.72 ± 1.37 / 51.34 ± 1.11,-,20.52 ± 1.49 / 39.96 ± 1.19,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,16.8.0.dev0,-,16.8.0.dev0
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.0-flash-001'>gemini/gemini-2.0-flash-001 (zero-shot, val)</a>",📝,-,?,?,256128.0,1048576.0,✓,✗,✗,✓,89.88 ± 1.12 / 94.78 ± 0.59,56.11 ± 1.48 / 35.81 ± 1.71,21.52 ± 2.71 / 57.57 ± 1.56,60.90 ± 0.63 / 35.41 ± 0.89,-,68.97 ± 2.21 / 76.88 ± 1.60,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,15.9.2.dev0,-,15.9.2.dev0
